ws_id;awy;carbon;ed;shdi;forest_cover;anthropic_press;ndwi;lst;precip;area
85;2049.588509;23476.22265625;53.8461538461538;0.540204142388861;76.9230769230769;0;0.0326445773243904;29.8639736175537;1044.49230957031;9.88426147686727
108;5991.065979;121645.890625;26.530612244898;0.468704363758182;14.2857142857143;85.7142857142857;0.0347857549786568;29.7709789276123;1059.47583007812;49.3674296127512
86;10480.2651;99678;52.4590163934426;1.08659975768003;36.0655737704918;26.2295081967213;0.032653983682394;29.8632030487061;1044.95166015625;49.420321964567
17;19085.65643;589307.3125;66.6666666666667;0.918244845408811;99.047619047619;0;0.0235742218792439;29.9899616241455;1079.73266601562;216.232097681017
22;23494.55047;427726.875;13.1818181818182;0.46723269699704;17.7272727272727;82.2727272727273;0.0255411975085735;30.0140914916992;1063.01538085938;184.786483748474
12;24035.1371;383503;62.9268292682927;1.02843681877514;66.3414634146341;26.8292682926829;0.0233078505843878;30.0760116577148;1055.49328613281;170.036971320736
120;37698.17678;534585.4375;68.0232558139535;1.46792630887424;72.0930232558139;21.5116279069767;0.0377938561141491;29.7466297149658;1037.90246582031;219.407684713157
60;48880.5148;756381;36.5853658536585;0.738720498413732;82.9268292682927;14.0243902439024;0.0297182388603687;29.9292278289795;1050.79113769531;285.640217219584
40;57029.23208;764668.6875;18.978102189781;0.310437172250833;92.7007299270073;4.37956204379562;0.027158135548234;29.9863796234131;1056.11926269531;351.848555140666
95;59406.17744;783764.4375;48.1081081081081;1.19136131454422;31.0810810810811;60.2702702702703;0.0341317132115364;29.8351097106934;1036.28295898438;323.304728528253
80;62864.62626;704802.25;41.5492957746479;0.968285234707084;46.7136150234742;46.7136150234742;0.0318194665014744;29.879581451416;1048.43798828125;377.535733543267
31;70654.18556;1397915.25;21.9903691813804;0.503820426801466;85.2327447833066;14.7672552166934;0.0263611245900393;29.970531463623;1072.83801269531;557.03892851362
107;82867.95784;1135297.375;65.1260504201681;1.15926045531786;85.9243697478992;0.420168067226891;0.0361434519290924;29.7846965789795;1037.8583984375;420.096452419096
59;83162.71293;977625.3125;53.2743362831858;1.05331698719775;52.212389380531;39.4690265486726;0.0293515305966139;29.9393749237061;1050.43359375;503.105567880195
1;85991.22086;1931098.125;32.4016563146998;0.832161810437104;85.7142857142857;12.3188405797101;0.0216678828001022;30.0347881317139;1077.23962402344;865.12274649953
19;102365.7126;2362801;29.0836653386454;0.7080344885761;76.7596281540505;22.4435590969455;0.0246914494782686;29.9704513549805;1077.80224609375;974.547187599168
45;109795.155;1584400.25;21.3438735177866;0.407568678611322;97.8919631093544;0.527009222661397;0.027691388502717;29.9750328063965;1054.74096679688;679.989989448203
78;112500.9601;1048854.375;37.5342465753425;0.503976533368161;11.2328767123288;86.3013698630137;0.031827986240387;29.8740615844727;1052.48571777344;664.01946408298
102;157949.3203;2150661.25;44.5168295331162;1.25628657999438;46.9055374592834;46.2540716612378;0.0359119176864624;29.7893009185791;1039.47021484375;824.327959861471
34;187520.6686;4212104;33.2263242375602;0.800406236914983;33.1728196896736;64.1519529159979;0.0275191441178322;29.9449691772461;1071.70092773438;1741.15633895411
32;193014.6438;4227684;35.614224137931;0.740578960675812;62.3922413793103;36.6379310344828;0.0262756701558828;29.9511432647705;1075.40734863281;1737.90531000359
3;196666.8847;4115074.75;35.0520833333333;0.686922691086494;83.8020833333333;14.8958333333333;0.0208604820072651;30.047700881958;1074.75317382812;1866.70822438547
58;198100.78;4484092;29.2458614347026;0.447741370897766;14.1017780502759;85.7142857142857;0.0291759427636862;29.8857231140137;1069.72875976562;1735.84131612111
101;224628.8853;4157980.75;20.5454545454545;0.503989615257281;12;87.8787878787879;0.0356959775090218;29.7875518798828;1050.58386230469;1525.29413538785
65;227510.1882;3994032.5;27.2621132516054;0.473609517153413;8.05604203152364;91.0683012259194;0.0302405972033739;29.8854198455811;1068.00512695312;1586.94447000309
81;229044.8427;2999063;34.0290955091714;0.940761172884336;58.0645161290323;38.8361796331436;0.0324443392455578;29.8633670806885;1049.16735839844;1480.36480122912
74;236247.4559;4537619.5;23.9846322722283;0.488802816023675;16.9593852908891;82.9308452250274;0.0310068503022194;29.8783836364746;1063.26184082031;1707.72162223333
83;236289.7944;3577444.75;31.7105263157895;1.02328036555976;52.5657894736842;46.1184210526316;0.0322187952697277;29.8724040985107;1046.32421875;1392.62584755214
7;237307.2147;4343607.5;24.7344461305008;0.758429186306165;45.0682852807284;54.2741527567021;0.023846497759223;30.041051864624;1065.60559082031;1846.7998558011
27;239312.0173;4032046.5;34.9465104431992;0.752230890965943;49.2613346917983;50.5858380030565;0.0263772122561932;29.9746417999268;1070.81640625;1845.11073202088
109;239895.2435;4669508;24.1527703066165;0.649652002303641;15.9763313609467;84.0236686390533;0.0362886525690556;29.7671356201172;1056.62841796875;1737.03133860522
44;240947.8246;3417189;59.4289508632138;1.20481651028906;82.0717131474104;5.37848605577689;0.0275867879390717;30.002405166626;1042.62817382812;1551.60323017799
30;248790.0146;3840073.5;19.0389294403893;0.39392289019142;95.1338199513382;3.34549878345499;0.0267332922667265;29.9998378753662;1055.16149902344;1539.94985168976
